USER_ID,GENDER
1,female
2,female
3,male
4,male
5,male
6,female
7,male
8,male
9,male
10,male
11,female
12,female
13,male
14,male
15,female
16,male
17,female
18,male
19,female
20,male
21,female
22,male
23,male
24,female
25,male
26,female
27,female
28,male
29,female
30,male
31,male
32,male
33,male
34,male
35,female
36,male
37,male
38,female
39,male
40,male
41,male
42,male
43,male
44,male
45,female
46,female
47,female
48,female
49,female
50,female
51,male
52,male
53,female
54,female
55,female
56,male
57,male
58,male
59,female
60,male
61,male
62,female
63,female
64,female
65,female
66,male
67,female
68,female
69,male
70,female
71,female
72,female
73,female
74,male
75,female
76,female
77,male
78,female
79,male
80,male
81,male
82,female
83,male
84,male
85,male
86,female
87,female
88,female
89,female
90,female
91,female
92,male
93,male
94,female
95,female
96,male
97,female
98,female
99,female
100,female
101,male
102,male
103,male
104,female
105,female
106,female
107,female
108,male
109,male
110,male
111,female
112,male
113,female
114,male
115,female
116,female
117,female
118,female
119,female
120,male
121,male
122,male
123,female
124,male
125,female
126,male
127,female
128,female
129,female
130,female
131,male
132,male
133,male
134,male
135,male
136,male
137,male
138,male
139,male
140,female
141,male
142,male
143,male
144,female
145,male
146,male
147,male
148,female
149,male
150,female
151,female
152,male
153,female
154,female
155,male
156,male
157,male
158,male
159,female
160,female
161,male
162,male
163,male
164,male
165,female
166,female
167,female
168,female
169,male
170,male
171,male
172,male
173,male
174,female
175,male
176,male
177,male
178,male
179,male
180,male
181,female
182,female
183,male
184,female
185,male
186,male
187,male
188,male
189,male
190,male
191,male
192,male
193,male
194,female
195,female
196,male
197,female
198,female
199,female
200,male
201,male
202,female
203,female
204,female
205,female
206,female
207,female
208,female
209,male
210,male
211,female
212,female
213,male
214,female
215,female
216,male
217,male
218,female
219,female
220,male
221,female
222,male
223,female
224,male
225,male
226,female
227,female
228,female
229,female
230,female
231,female
232,male
233,female
234,male
235,male
236,female
237,male
238,male
239,male
240,male
241,male
242,male
243,male
244,female
245,male
246,female
247,female
248,male
249,male
250,female
251,male
252,male
253,female
254,male
255,female
256,female
257,male
258,female
259,female
260,male
261,female
262,female
263,male
264,female
265,female
266,female
267,female
268,male
269,female
270,male
271,male
272,male
273,male
274,male
275,female
276,male
277,male
278,male
279,male
280,female
281,male
282,female
283,male
284,male
285,male
286,male
287,male
288,male
289,female
290,male
291,male
292,female
293,male
294,male
295,female
296,female
297,male
298,female
299,female
300,male
301,female
302,male
303,male
304,male
305,female
306,male
307,female
308,female
309,female
310,male
311,female
312,male
313,male
314,female
315,male
316,female
317,female
318,male
319,male
320,female
321,female
322,male
323,male
324,female
325,male
326,male
327,female
328,male
329,female
330,female
331,female
332,female
333,male
334,female
335,female
336,male
337,male
338,male
339,female
340,female
341,female
342,male
343,female
344,male
345,female
346,female
347,female
348,female
349,female
350,female
351,male
352,female
353,male
354,male
355,male
356,female
357,female
358,female
359,male
360,male
361,male
362,female
363,female
364,female
365,female
366,female
367,female
368,male
369,female
370,male
371,female
372,female
373,male
374,female
375,male
376,male
377,female
378,female
379,female
380,female
381,female
382,female
383,female
384,female
385,female
386,male
387,male
388,female
389,male
390,female
391,female
392,female
393,male
394,male
395,male
396,female
397,female
398,female
399,male
400,female
401,female
402,female
403,female
404,male
405,male
406,male
407,male
408,male
409,female
410,female
411,female
412,female
413,female
414,male
415,male
416,female
417,female
418,male
419,female
420,male
421,female
422,male
423,female
424,female
425,male
426,male
427,female
428,female
429,male
430,female
431,male
432,female
433,male
434,male
435,female
436,female
437,male
438,female
439,male
440,male
441,female
443,female
444,female
445,female
446,female
447,female
448,male
449,male
450,male
451,female
452,male
453,male
454,female
455,female
456,male
457,female
458,male
459,female
460,female
461,female
462,female
463,female
464,female
465,male
466,female
467,male
468,female
469,female
470,female
471,female
472,male
473,female
474,male
475,female
476,female
477,female
478,male
479,male
480,female
481,female
482,female
483,female
484,female
485,female
486,male
487,male
488,female
489,male
490,female
491,female
492,female
493,female
494,female
495,male
496,male
497,male
498,female
499,female
500,female
501,female
502,female
503,male
504,male
505,male
506,male
507,male
508,female
509,male
510,female
511,male
512,male
513,female
514,female
515,male
516,male
517,male
518,male
519,male
520,female
521,female
522,female
523,male
524,female
525,female
526,female
527,female
528,female
529,female
530,female
531,female
532,female
533,female
534,male
535,female
536,female
537,female
538,male
539,female
540,female
541,female
542,female
543,male
544,female
545,female
546,male
547,male
548,female
549,female
550,male
551,female
552,male
553,female
554,male
555,male
556,female
557,female
558,male
559,male
560,female
561,male
562,female
563,male
564,female
565,female
566,male
567,male
568,male
569,female
570,male
571,female
572,male
573,female
574,female
575,male
576,female
577,female
578,male
579,male
580,male
581,female
582,female
583,male
584,male
585,female
586,female
587,male
588,female
589,male
590,male
591,male
592,female
593,male
594,male
595,male
596,male
597,male
598,female
599,male
600,female
601,male
602,male
603,female
604,male
605,male
606,male
607,male
608,male
609,female
610,male
